rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
1587,Has ganado la victoria,Marco Barrientos,marco_barrientos,has_ganado_la_victoria,6,7.33,1,R,https://acordes.lacuerda.net/marco_barrientos/has_ganado_la_victoria
1588,Hoy el Señor resucitó,Música Religiosa,musica_religiosa,hoy_el_senior_resucito,6,7.33,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy_el_senior_resucito
1589,Los carros del Faraón,Marco Barrientos,marco_barrientos,los_carros_del_faraon,6,7.33,1,R,https://acordes.lacuerda.net/marco_barrientos/los_carros_del_faraon
1590,Mira más allá,Música Religiosa,musica_religiosa,mira_mas_alla,6,7.33,1,R,https://acordes.lacuerda.net/musica_religiosa/mira_mas_alla
1591,Una vez más,Marco Barrientos,marco_barrientos,una_vez_mas,6,7.33,1,R,https://acordes.lacuerda.net/marco_barrientos/una_vez_mas
1592,Por quien eres tú,Hillsong United,hillsong_united,por_quien_eres_tu,6,7.17,1,R,https://acordes.lacuerda.net/hillsong_united/por_quien_eres_tu
1593,Buscaré,Rojo,rojo,buscare,6,7.0,1,R,https://acordes.lacuerda.net/rojo/buscare
1594,Coro Rociero - de mujer a mujer,Música Religiosa,musica_religiosa,coro_rociero_de_mujer_a_mujer,6,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/coro_rociero_de_mujer_a_mujer
1595,Exaltaré,Marcos Witt,marcos_witt,exaltare,6,7.0,1,R,https://acordes.lacuerda.net/marcos_witt/exaltare
1596,Hermosa Niña,Música Religiosa,musica_religiosa,hermosa_ninia,6,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/hermosa_ninia
1597,Quieto Estaré,Hillsong United,hillsong_united,quieto_estare,6,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/quieto_estare
1598,Buscando Paz,Jesus Adrian Romero,jesus_adrian_romero,buscando_paz,6,6.67,1,R,https://acordes.lacuerda.net/jesus_adrian_romero/buscando_paz
1599,Salmo 125,Música Religiosa,musica_religiosa,salmo_125,6,6.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_125
1600,Es tu amor,Generacion 12,generacion_12,es_tu_amor,6,5.83,1,R,https://acordes.lacuerda.net/generacion_12/es_tu_amor
1601,Canto Nuevo,Música Religiosa,musica_religiosa,canto_nuevo,6,5.0,1,R,https://acordes.lacuerda.net/musica_religiosa/canto_nuevo
1602,Baruch Hashem,Barak,barak,baruch_hashem,5,10.0,2,R,https://acordes.lacuerda.net/barak/baruch_hashem
1603,Duele el Amor,Alex Campos,alex_campos,duele_el_amor,5,10.0,2,R,https://acordes.lacuerda.net/alex_campos/duele_el_amor
1604,Cantaré,Marco Barrientos,marco_barrientos,cantare,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/cantare
1605,Confiar,Alex Campos,alex_campos,confiar,5,10.0,1,R,https://acordes.lacuerda.net/alex_campos/confiar
1606,Creo en un sólo Dios,Música Religiosa,musica_religiosa,creo_en_un_solo_dios,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/creo_en_un_solo_dios
1607,Cristo te Exalto,Marco Barrientos,marco_barrientos,cristo_te_exalto,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/cristo_te_exalto
1608,Decláralo,Danilo Montero,danilo_montero,declaralo,5,10.0,1,R,https://acordes.lacuerda.net/danilo_montero/declaralo
1609,Es por tu gracia,Marco Barrientos,marco_barrientos,es_por_tu_gracia,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/es_por_tu_gracia
1610,Eterno Amor,Hillsong United,hillsong_united,eterno_amor,5,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/eterno_amor
1611,Hosana,Hillsong United,hillsong_united,hosana,5,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/hosana
1612,Jesús milagro de Amor,Música Religiosa,musica_religiosa,jesus_milagro_de_amor,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/jesus_milagro_de_amor
1613,Mi Padre,Hillsong United,hillsong_united,mi_padre,5,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/mi_padre
1614,Mi lógica humana,Música Religiosa,musica_religiosa,mi_logica_humana,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_logica_humana
1615,Niña,Música Religiosa,musica_religiosa,ninia,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ninia
1616,No vuelvo pa'tras,Alex Campos,alex_campos,no_vuelvo_patras,5,10.0,1,R,https://acordes.lacuerda.net/alex_campos/no_vuelvo_patras
1617,Oh maría,Música Religiosa,musica_religiosa,oh_maria,5,10.0,1,H,https://acordes.lacuerda.net/musica_religiosa/oh_maria
1618,Poder,Marco Barrientos,marco_barrientos,poder,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/poder
1619,Pon tu mano,Música Religiosa,musica_religiosa,pon_tu_mano,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/pon_tu_mano
1620,Preciosa Gracia,Danilo Montero,danilo_montero,preciosa_gracia,5,10.0,1,R,https://acordes.lacuerda.net/danilo_montero/preciosa_gracia
1621,Pueblo de Dios levántate y come,Música Religiosa,musica_religiosa,pueblo_de_dios_levantate_y_come,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/pueblo_de_dios_levantate_y_come
1622,Quiero adorar tus llagas,Música Religiosa,musica_religiosa,quiero_adorar_tus_llagas,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/quiero_adorar_tus_llagas
1623,Se Desborda,Barak,barak,se_desborda,5,10.0,1,R,https://acordes.lacuerda.net/barak/se_desborda
1624,"Señor, ilumina mi vida",Música Religiosa,musica_religiosa,senior_ilumina_mi_vida,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/senior_ilumina_mi_vida
1625,Su familia nos hizo,Marco Barrientos,marco_barrientos,su_familia_nos_hizo,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/su_familia_nos_hizo
1626,Te amo (yo soy tu padre),Marco Barrientos,marco_barrientos,te_amo_yo_soy_tu_padre,5,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/te_amo_yo_soy_tu_padre
1627,Tengo la Gloria,Marcos Witt,marcos_witt,tengo_la_gloria,5,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/tengo_la_gloria
1628,Unge mi corazón,Música Religiosa,musica_religiosa,unge_mi_corazon,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/unge_mi_corazon
1629,Ven Señor Jesús,Música Religiosa,musica_religiosa,ven_senior_jesus,5,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ven_senior_jesus
1630,Encontré,Generacion 12,generacion_12,encontre,5,9.8,3,R,https://acordes.lacuerda.net/generacion_12/encontre
1631,El Vive,Música Religiosa,musica_religiosa,el_vive,5,9.8,1,R,https://acordes.lacuerda.net/musica_religiosa/el_vive
1632,Hemos Vencido,Generacion 12,generacion_12,hemos_vencido,5,9.8,1,R,https://acordes.lacuerda.net/generacion_12/hemos_vencido
1633,Invencible,Marco Barrientos,marco_barrientos,invencible,5,9.8,1,R,https://acordes.lacuerda.net/marco_barrientos/invencible
1634,La sangre de Jesús,Generacion 12,generacion_12,la_sangre_de_jesus,5,9.8,1,R,https://acordes.lacuerda.net/generacion_12/la_sangre_de_jesus
1635,Te Alabaré,Alex Campos,alex_campos,te_alabare,5,9.8,1,R,https://acordes.lacuerda.net/alex_campos/te_alabare
1636,Pertenezco a Cristo,Marco Barrientos,marco_barrientos,pertenezco_a_cristo,5,9.65,1,R,https://acordes.lacuerda.net/marco_barrientos/pertenezco_a_cristo
1637,Al que nos amo,Música Religiosa,musica_religiosa,al_que_nos_amo,5,9.6,1,R,https://acordes.lacuerda.net/musica_religiosa/al_que_nos_amo
1638,I give you my heart,Hillsong United,hillsong_united,i_give_you_my_heart,5,9.6,1,R,https://acordes.lacuerda.net/hillsong_united/i_give_you_my_heart
1639,Jesús,Generacion 12,generacion_12,jesus,5,9.6,1,R,https://acordes.lacuerda.net/generacion_12/jesus
1640,Me vuelvo a ti,Generacion 12,generacion_12,me_vuelvo_a_ti,5,9.6,1,R,https://acordes.lacuerda.net/generacion_12/me_vuelvo_a_ti
1641,Nuestro padre eres tú,Marco Barrientos,marco_barrientos,nuestro_padre_eres_tu,5,9.6,1,R,https://acordes.lacuerda.net/marco_barrientos/nuestro_padre_eres_tu
1642,Rumba a poveda,Música Religiosa,musica_religiosa,rumba_a_poveda,5,9.6,1,R,https://acordes.lacuerda.net/musica_religiosa/rumba_a_poveda
1643,Tú tan mío,Alex Campos,alex_campos,tu_tan_mio,5,9.6,1,R,https://acordes.lacuerda.net/alex_campos/tu_tan_mio
1644,Yo tierra tu semilla,Alex Campos,alex_campos,yo_tierra_tu_semilla,5,9.6,1,R,https://acordes.lacuerda.net/alex_campos/yo_tierra_tu_semilla
1645,Amor Eterno,Marcos Witt,marcos_witt,amor_eterno,5,9.4,1,R,https://acordes.lacuerda.net/marcos_witt/amor_eterno
1646,Cristo vale la pena,Música Religiosa,musica_religiosa,cristo_vale_la_pena,5,9.4,1,R,https://acordes.lacuerda.net/musica_religiosa/cristo_vale_la_pena
1647,Habita,Danilo Montero,danilo_montero,habita,5,9.4,1,R,https://acordes.lacuerda.net/danilo_montero/habita
1648,Mi Virgen Bella,Música Religiosa,musica_religiosa,mi_virgen_bella,5,9.4,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_virgen_bella
1649,Oh you bring,Hillsong United,hillsong_united,oh_you_bring,5,9.4,1,R,https://acordes.lacuerda.net/hillsong_united/oh_you_bring
1650,Serviremos al Señor,Para su Gloria,para_su_gloria,serviremos_al_senior,5,9.4,1,R,https://acordes.lacuerda.net/para_su_gloria/serviremos_al_senior
1651,Tu fama gritaré,Hillsong United,hillsong_united,tu_fama_gritare,5,9.4,1,R,https://acordes.lacuerda.net/hillsong_united/tu_fama_gritare
1652,Desert Song,Hillsong United,hillsong_united,desert_song,5,9.35,1,T,https://acordes.lacuerda.net/hillsong_united/desert_song
1653,Ofrenda de amor,Música Religiosa,musica_religiosa,ofrenda_de_amor,5,9.35,1,T,https://acordes.lacuerda.net/musica_religiosa/ofrenda_de_amor
1654,Always,Hillsong United,hillsong_united,always,5,9.25,1,R,https://acordes.lacuerda.net/hillsong_united/always
1655,Paz en la Tierra,Música Religiosa,musica_religiosa,paz_en_la_tierra,5,9.25,1,R,https://acordes.lacuerda.net/musica_religiosa/paz_en_la_tierra
1656,Closer,Bethel Music,bethel_music,closer,5,9.2,1,R,https://acordes.lacuerda.net/bethel_music/closer
1657,"María, María",Música Religiosa,musica_religiosa,maria_maria,5,9.2,1,R,https://acordes.lacuerda.net/musica_religiosa/maria_maria
1658,Me Deleitaré,Marco Barrientos,marco_barrientos,me_deleitare,5,9.2,1,R,https://acordes.lacuerda.net/marco_barrientos/me_deleitare
1659,Más que a mi ser,Hillsong United,hillsong_united,mas_que_a_mi_ser,5,9.2,1,R,https://acordes.lacuerda.net/hillsong_united/mas_que_a_mi_ser
1660,No es con fuerza ni poder,Marco Barrientos,marco_barrientos,no_es_con_fuerza_ni_poder,5,9.2,1,R,https://acordes.lacuerda.net/marco_barrientos/no_es_con_fuerza_ni_poder
1661,Pausa en la eternidad,Danilo Montero,danilo_montero,pausa_en_la_eternidad,5,9.2,1,R,https://acordes.lacuerda.net/danilo_montero/pausa_en_la_eternidad
1662,Promesas,Barak,barak,promesas,5,9.2,1,R,https://acordes.lacuerda.net/barak/promesas
1663,Razones para adorar,Bethel Music,bethel_music,razones_para_adorar,5,9.2,1,R,https://acordes.lacuerda.net/bethel_music/razones_para_adorar
1664,Solo tú,Marco Barrientos,marco_barrientos,solo_tu,5,9.2,1,R,https://acordes.lacuerda.net/marco_barrientos/solo_tu
1665,Stronger,Hillsong United,hillsong_united,stronger,5,9.2,1,R,https://acordes.lacuerda.net/hillsong_united/stronger
1666,Jesús,Barak,barak,jesus,5,9.0,2,R,https://acordes.lacuerda.net/barak/jesus
1667,Alaba en el espíritu,Marco Barrientos,marco_barrientos,alaba_en_el_espiritu,5,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/alaba_en_el_espiritu
1668,Descansa en Dios,Música Religiosa,musica_religiosa,descansa_en_dios,5,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/descansa_en_dios
1669,Me diste todo,Marco Barrientos,marco_barrientos,me_diste_todo,5,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/me_diste_todo
1670,Tú solo tú,Marco Barrientos,marco_barrientos,tu_solo_tu,5,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/tu_solo_tu
1671,Cántico Nuevo,Miel San Marcos,miel_san_marcos,cantico_nuevo,5,8.85,1,R,https://acordes.lacuerda.net/miel_san_marcos/cantico_nuevo
1672,Al recibirte en comunión,Música Religiosa,musica_religiosa,al_recibirte_en_comunion,5,8.8,1,R,https://acordes.lacuerda.net/musica_religiosa/al_recibirte_en_comunion
1673,Grandes Cosas,Generacion 12,generacion_12,grandes_cosas,5,8.65,1,R,https://acordes.lacuerda.net/generacion_12/grandes_cosas
1674,Aqui estoy,Música Religiosa,musica_religiosa,aqui_estoy,5,8.6,1,R,https://acordes.lacuerda.net/musica_religiosa/aqui_estoy
1675,Aunque lejos estés,Tercer Cielo,tercer_cielo,aunque_lejos_estes,5,8.6,1,R,https://acordes.lacuerda.net/tercer_cielo/aunque_lejos_estes
1676,Clama al señor,Marco Barrientos,marco_barrientos,clama_al_senior,5,8.6,1,R,https://acordes.lacuerda.net/marco_barrientos/clama_al_senior
1677,Digno de todo,Bethel Music,bethel_music,digno_de_todo,5,8.6,1,R,https://acordes.lacuerda.net/bethel_music/digno_de_todo
1678,In Control,Hillsong United,hillsong_united,in_control,5,8.6,1,R,https://acordes.lacuerda.net/hillsong_united/in_control
1679,La roca inconmovible,Para su Gloria,para_su_gloria,la_roca_inconmovible,5,8.6,1,R,https://acordes.lacuerda.net/para_su_gloria/la_roca_inconmovible
1680,Los Yuyos de mi Tierra,Música Religiosa,musica_religiosa,los_yuyos_de_mi_tierra,5,8.6,1,R,https://acordes.lacuerda.net/musica_religiosa/los_yuyos_de_mi_tierra
1681,Motivo de navidad,La IBI,ibi,motivo_de_navidad,5,8.6,1,R,https://acordes.lacuerda.net/ibi/motivo_de_navidad
1682,Alzad las manos,Música Religiosa,musica_religiosa,alzad_las_manos,5,8.4,1,R,https://acordes.lacuerda.net/musica_religiosa/alzad_las_manos
1683,Dios sin igual,Generacion 12,generacion_12,dios_sin_igual,5,8.4,1,R,https://acordes.lacuerda.net/generacion_12/dios_sin_igual
1684,En tí aprendí,Tercer Cielo,tercer_cielo,en_ti_aprendi,5,8.4,1,R,https://acordes.lacuerda.net/tercer_cielo/en_ti_aprendi
1685,Señor Eres Fiel,Marco Barrientos,marco_barrientos,senior_eres_fiel,5,8.4,1,R,https://acordes.lacuerda.net/marco_barrientos/senior_eres_fiel
1686,Rey de Gloria,Marcos Witt,marcos_witt,rey_de_gloria,5,8.35,1,R,https://acordes.lacuerda.net/marcos_witt/rey_de_gloria
1687,Adonai,Hillsong United,hillsong_united,adonai,5,8.2,1,R,https://acordes.lacuerda.net/hillsong_united/adonai
1688,Carry Me,Hillsong United,hillsong_united,carry_me,5,8.2,1,R,https://acordes.lacuerda.net/hillsong_united/carry_me
1689,El ejercito de dios,Marco Barrientos,marco_barrientos,el_ejercito_de_dios,5,8.2,1,R,https://acordes.lacuerda.net/marco_barrientos/el_ejercito_de_dios
1690,Esperamos en tí,Marcos Witt,marcos_witt,esperamos_en_ti,5,8.2,1,R,https://acordes.lacuerda.net/marcos_witt/esperamos_en_ti
1691,Juntos para soñar,Música Religiosa,musica_religiosa,juntos_para_soniar,5,8.2,1,R,https://acordes.lacuerda.net/musica_religiosa/juntos_para_soniar
1692,Ni ojo vió,Marco Barrientos,marco_barrientos,ni_ojo_vio,5,8.2,1,R,https://acordes.lacuerda.net/marco_barrientos/ni_ojo_vio
1693,No hay Dios tan grande como tú,Danilo Montero,danilo_montero,no_hay_dios_tan_grande_como_tu,5,8.2,1,R,https://acordes.lacuerda.net/danilo_montero/no_hay_dios_tan_grande_como_tu
1694,Roca eterna,Marcos Witt,marcos_witt,roca_eterna,5,8.2,1,R,https://acordes.lacuerda.net/marcos_witt/roca_eterna
1695,Se que habrá,Música Religiosa,musica_religiosa,se_que_habra,5,8.2,1,R,https://acordes.lacuerda.net/musica_religiosa/se_que_habra
1696,Sinceridad,Música Religiosa,musica_religiosa,sinceridad,5,8.2,1,R,https://acordes.lacuerda.net/musica_religiosa/sinceridad
1697,Ten calma,Música Religiosa,musica_religiosa,ten_calma,5,8.2,1,R,https://acordes.lacuerda.net/musica_religiosa/ten_calma
1698,Una nueva historia,Generacion 12,generacion_12,una_nueva_historia,5,8.2,1,R,https://acordes.lacuerda.net/generacion_12/una_nueva_historia
1699,América será para Cristo,Marcos Witt,marcos_witt,america_sera_para_cristo,5,8.0,1,R,https://acordes.lacuerda.net/marcos_witt/america_sera_para_cristo
1700,Hay Poder,Música Religiosa,musica_religiosa,hay_poder,5,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/hay_poder
1701,Te entrego,Marco Barrientos,marco_barrientos,te_entrego,5,8.0,1,R,https://acordes.lacuerda.net/marco_barrientos/te_entrego
1702,Mi Esperanza,Hillsong United,hillsong_united,mi_esperanza,5,7.95,1,R,https://acordes.lacuerda.net/hillsong_united/mi_esperanza
1703,El evangelio de Dios,Marco Barrientos,marco_barrientos,el_evangelio_de_dios,5,7.8,1,R,https://acordes.lacuerda.net/marco_barrientos/el_evangelio_de_dios
1704,Se oye en las naciones,Marcos Witt,marcos_witt,se_oye_en_las_naciones,5,7.8,1,B,https://acordes.lacuerda.net/marcos_witt/se_oye_en_las_naciones
1705,Si no estás tú,Marcela Gandara,marcela_gandara,si_no_estas_tu,5,7.8,1,R,https://acordes.lacuerda.net/marcela_gandara/si_no_estas_tu
1706,Saber que vendrás,Música Religiosa,musica_religiosa,saber_que_vendras,5,7.65,1,R,https://acordes.lacuerda.net/musica_religiosa/saber_que_vendras
1707,Amarte sólo a ti,Bethel Music,bethel_music,amarte_solo_a_ti,5,7.6,1,R,https://acordes.lacuerda.net/bethel_music/amarte_solo_a_ti
1708,Esperaré,Marcos Witt,marcos_witt,esperare,5,7.6,1,R,https://acordes.lacuerda.net/marcos_witt/esperare
1709,Acércame a ti,Hillsong United,hillsong_united,acercame_a_ti,5,7.4,1,R,https://acordes.lacuerda.net/hillsong_united/acercame_a_ti
1710,Enamórame otra vez,Música Religiosa,musica_religiosa,enamorame_otra_vez,5,7.4,1,R,https://acordes.lacuerda.net/musica_religiosa/enamorame_otra_vez
1711,No Desmayes,Marco Barrientos,marco_barrientos,no_desmayes,5,7.4,1,K,https://acordes.lacuerda.net/marco_barrientos/no_desmayes
1712,Porque tú eres bueno,Música Religiosa,musica_religiosa,por_que_tu_eres_bueno,5,7.2,1,R,https://acordes.lacuerda.net/musica_religiosa/por_que_tu_eres_bueno
1713,Estamos Reunidos,Música Religiosa,musica_religiosa,estamos_reunidos,5,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/estamos_reunidos
1714,Te agradezco Señor tu palabra,Música Religiosa,musica_religiosa,te_agradezco_senior_tu_palabra,5,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/te_agradezco_senior_tu_palabra
1715,Te encontré,Música Religiosa,musica_religiosa,te_encontre,5,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/te_encontre
1716,Tengo Mucho Que Aprender De Ti,Música Religiosa,musica_religiosa,tengo_mucho_que_aprender,5,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/tengo_mucho_que_aprender
1717,Tu nombre santo es,Generacion 12,generacion_12,tu_nombre_santo_es,5,7.0,1,R,https://acordes.lacuerda.net/generacion_12/tu_nombre_santo_es
1718,Amante de tu amor,Rojo,rojo,amante_de_tu_amor,5,6.85,1,R,https://acordes.lacuerda.net/rojo/amante_de_tu_amor
1719,Hijos de la luz,Hillsong United,hillsong_united,hijos_de_la_luz,5,6.85,1,R,https://acordes.lacuerda.net/hillsong_united/hijos_de_la_luz
1720,A quien iré,Marco Barrientos,marco_barrientos,a_quien_ire,5,6.8,1,R,https://acordes.lacuerda.net/marco_barrientos/a_quien_ire
1721,Adorad al Cordero Santo,Marco Barrientos,marco_barrientos,adorad_al_cordero_santo,5,6.8,1,R,https://acordes.lacuerda.net/marco_barrientos/adorad_al_cordero_santo
1722,Conquistando,Marco Barrientos,marco_barrientos,conquistando,5,6.8,1,R,https://acordes.lacuerda.net/marco_barrientos/conquistando
1723,A ti la gloria,La IBI,ibi,a_ti_la_gloria,5,6.6,1,R,https://acordes.lacuerda.net/ibi/a_ti_la_gloria
1724,Alabare al Señor (anástasis),Hillsong United,hillsong_united,alabare_al_senior_anastasis,5,6.6,1,R,https://acordes.lacuerda.net/hillsong_united/alabare_al_senior_anastasis
1725,El es mi Dios,Música Religiosa,musica_religiosa,el_es_mi_dios,5,6.6,1,R,https://acordes.lacuerda.net/musica_religiosa/el_es_mi_dios
1726,No hay otro,La IBI,ibi,no_hay_otro,5,6.6,1,R,https://acordes.lacuerda.net/ibi/no_hay_otro
1727,Siento la unción,Marco Barrientos,marco_barrientos,siento_la_uncion,5,6.6,1,R,https://acordes.lacuerda.net/marco_barrientos/siento_la_uncion
1728,A ti me rindo,Hillsong United,hillsong_united,a_ti_me_rindo,5,6.4,1,R,https://acordes.lacuerda.net/hillsong_united/a_ti_me_rindo
1729,Con gozo cantaré a Jehová,Miel San Marcos,miel_san_marcos,con_gozo_cantare_a_jehova,5,6.4,1,R,https://acordes.lacuerda.net/miel_san_marcos/con_gozo_cantare_a_jehova
1730,Día Grande,Música Religiosa,musica_religiosa,dia_grande,5,6.4,1,R,https://acordes.lacuerda.net/musica_religiosa/dia_grande
1731,Gloria al rey de reyes,Música Religiosa,musica_religiosa,gloria_al_rey_de_reyes,5,6.4,1,R,https://acordes.lacuerda.net/musica_religiosa/gloria_al_rey_de_reyes
1732,Higher,Hillsong United,hillsong_united,higher,5,6.4,1,T,https://acordes.lacuerda.net/hillsong_united/higher
1733,Hosana tu reino venganos Señor,Música Religiosa,musica_religiosa,hosana_tu_reino_venganos_senior,5,6.4,1,R,https://acordes.lacuerda.net/musica_religiosa/hosana_tu_reino_venganos_senior
1734,Junto a la cruz (metodista),Música Religiosa,musica_religiosa,junto_a_la_cruz_metodista,5,6.4,1,R,https://acordes.lacuerda.net/musica_religiosa/junto_a_la_cruz_metodista
1735,Más que a mi vida,Hillsong United,hillsong_united,mas_que_a_mi_vida,5,6.4,1,R,https://acordes.lacuerda.net/hillsong_united/mas_que_a_mi_vida
1736,"Venid, fieles todos",La IBI,ibi,venid_fieles_todos,5,6.4,1,R,https://acordes.lacuerda.net/ibi/venid_fieles_todos
1737,Hossana,Marcos Witt,marcos_witt,hossana,5,6.0,1,R,https://acordes.lacuerda.net/marcos_witt/hossana
1738,Siempre me amaste,Música Religiosa,musica_religiosa,siempre_me_amaste,5,5.8,1,R,https://acordes.lacuerda.net/musica_religiosa/siempre_me_amaste
1739,Vivir de amor,Música Religiosa,musica_religiosa,vivir_de_amor,5,5.6,1,R,https://acordes.lacuerda.net/musica_religiosa/vivir_de_amor
1740,Aqui estoy,Marco Barrientos,marco_barrientos,aqui_estoy,5,5.4,1,R,https://acordes.lacuerda.net/marco_barrientos/aqui_estoy
1741,Perdona a tu pueblo,Música Religiosa,musica_religiosa,perdona_a_tu_pueblo,5,5.4,1,R,https://acordes.lacuerda.net/musica_religiosa/perdona_a_tu_pueblo
1742,Escóndete en la mano del Señor,Música Religiosa,musica_religiosa,escondete_en_la_mano_del_senior,5,4.6,1,R,https://acordes.lacuerda.net/musica_religiosa/escondete_en_la_mano_del_senior
1743,Salmo 126,Música Religiosa,musica_religiosa,salmo_126,5,4.6,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_126
1744,Salmo 18,Música Religiosa,musica_religiosa,salmo_18,5,2.8,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_18
1745,Mi Manantial,Generacion 12,generacion_12,mi_manantial,4,10.0,4,"R,T",https://acordes.lacuerda.net/generacion_12/mi_manantial
1746,Cielo,Tercer Cielo,tercer_cielo,cielo,4,10.0,2,R,https://acordes.lacuerda.net/tercer_cielo/cielo
1747,Echad la hoz,Danilo Montero,danilo_montero,echad_la_hoz,4,10.0,2,R,https://acordes.lacuerda.net/danilo_montero/echad_la_hoz
1748,Partes,Bethel Music,bethel_music,partes,4,10.0,2,R,https://acordes.lacuerda.net/bethel_music/partes
1749,Primer Amor,Generacion 12,generacion_12,primer_amor,4,10.0,2,R,https://acordes.lacuerda.net/generacion_12/primer_amor
1750,Aleluya,Generacion 12,generacion_12,aleluya,4,10.0,1,R,https://acordes.lacuerda.net/generacion_12/aleluya
1751,Aleluya el Señor es nuestro rey,Música Religiosa,musica_religiosa,aleluya_el_senior_es_nuestro_rey,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/aleluya_el_senior_es_nuestro_rey
1752,Alive in you,Hillsong United,hillsong_united,alive_in_you,4,10.0,1,T,https://acordes.lacuerda.net/hillsong_united/alive_in_you
1753,Altar,Marco Barrientos,marco_barrientos,altar,4,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/altar
1754,Asombroso,Hillsong United,hillsong_united,asombroso,4,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/asombroso
1755,Brillarás,Rojo,rojo,brillaras,4,10.0,1,R,https://acordes.lacuerda.net/rojo/brillaras
1756,Camino al monte,Música Religiosa,musica_religiosa,camino_al_monte,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/camino_al_monte
1757,Cordero lento nuevo,Música Religiosa,musica_religiosa,cordero_lento_nuevo,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/cordero_lento_nuevo
1758,Coro Rociero - una ilusión,Música Religiosa,musica_religiosa,coro_rociero__una_ilusion,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/coro_rociero__una_ilusion
1759,Dale amor,Música Religiosa,musica_religiosa,dale_amor,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/dale_amor
1760,Devoción,Hillsong United,hillsong_united,devocion,4,10.0,1,T,https://acordes.lacuerda.net/hillsong_united/devocion
1761,El Sacrificio,Rojo,rojo,el_sacrificio,4,10.0,1,R,https://acordes.lacuerda.net/rojo/el_sacrificio
1762,Eres mi Dios,Hillsong United,hillsong_united,eres_mi_dios,4,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/eres_mi_dios
1763,Esta Invitación,Marco Barrientos,marco_barrientos,esta_invitacion,4,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/esta_invitacion
1764,Flor del Carmelo,Música Religiosa,musica_religiosa,flor_del_carmelo,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/flor_del_carmelo
1765,Gracia Abunda,Hillsong United,hillsong_united,gracia_abunda,4,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/gracia_abunda
1766,Libertad,Marco Barrientos,marco_barrientos,libertad,4,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/libertad
1767,María Estrella,Música Religiosa,musica_religiosa,maria_estrella,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/maria_estrella
1768,María señal de Jesucristo,Música Religiosa,musica_religiosa,maria_senial_de_jesucristo,4,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/maria_senial_de_jesucristo
1769,Mi Historia,Hillsong United,hillsong_united,mi_historia,4,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/mi_historia
