rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
849,Comenzar de cero,Tercer Cielo,tercer_cielo,comenzar_de_cero,18,8.78,1,R,https://acordes.lacuerda.net/tercer_cielo/comenzar_de_cero
850,Quiero expresar mi gratitud,Marcos Witt,marcos_witt,quiero_expresar_mi_gratitud,18,8.75,1,R,https://acordes.lacuerda.net/marcos_witt/quiero_expresar_mi_gratitud
851,Victoria,Marco Barrientos,marco_barrientos,victoria,18,8.44,1,R,https://acordes.lacuerda.net/marco_barrientos/victoria
852,Levanto un aleluya,Bethel Music,bethel_music,levanto_un_aleluya,18,8.39,2,R,https://acordes.lacuerda.net/bethel_music/levanto_un_aleluya
853,Abba Padre,Música Religiosa,musica_religiosa,abba_padre,18,8.28,1,R,https://acordes.lacuerda.net/musica_religiosa/abba_padre
854,Soy Bautizado,Música Religiosa,musica_religiosa,soy_bautizado,18,8.22,1,R,https://acordes.lacuerda.net/musica_religiosa/soy_bautizado
855,Alabanzas de cumpleaños,Música Religiosa,musica_religiosa,alabanzas_de_cumpleanios,18,8.18,1,R,https://acordes.lacuerda.net/musica_religiosa/alabanzas_de_cumpleanios
856,Solution,Hillsong United,hillsong_united,solution,18,7.89,1,T,https://acordes.lacuerda.net/hillsong_united/solution
857,Ya llegó el Espíruto Santo,Música Religiosa,musica_religiosa,ya_llego_el_espiruto_santo,18,7.83,1,R,https://acordes.lacuerda.net/musica_religiosa/ya_llego_el_espiruto_santo
858,Ven amada mía,Música Religiosa,musica_religiosa,ven_amada_mia,18,7.72,1,R,https://acordes.lacuerda.net/musica_religiosa/ven_amada_mia
859,Oh Jesús,Marcos Witt,marcos_witt,oh_jesus,18,7.67,1,R,https://acordes.lacuerda.net/marcos_witt/oh_jesus
860,Nada hay que esconder,Hillsong United,hillsong_united,nada_hay_que_esconder,18,7.65,1,R,https://acordes.lacuerda.net/hillsong_united/nada_hay_que_esconder
861,Bendeciré,Marco Barrientos,marco_barrientos,bendecire,18,7.61,1,R,https://acordes.lacuerda.net/marco_barrientos/bendecire
862,Consume con tu fuego,Marcos Witt,marcos_witt,consume_con_tu_fuego,18,7.5,1,R,https://acordes.lacuerda.net/marcos_witt/consume_con_tu_fuego
863,With Everything,Hillsong United,hillsong_united,with_everything,18,7.5,1,R,https://acordes.lacuerda.net/hillsong_united/with_everything
864,No soy esclavo,Generacion 12,generacion_12,no_soy_esclavo,18,7.39,1,R,https://acordes.lacuerda.net/generacion_12/no_soy_esclavo
865,Sopla Espíritu,Bethel Music,bethel_music,sopla_espiritu,18,7.28,1,R,https://acordes.lacuerda.net/bethel_music/sopla_espiritu
866,Nuestro Dios poderoso,Hillsong United,hillsong_united,nuestro_dios_poderoso,18,7.15,1,R,https://acordes.lacuerda.net/hillsong_united/nuestro_dios_poderoso
867,Santo santo santo,Marcos Witt,marcos_witt,santo_santo_santo,18,6.74,1,R,https://acordes.lacuerda.net/marcos_witt/santo_santo_santo
868,En totalidad a ti,Alex Campos,alex_campos,en_totalidad_a_ti,18,5.89,1,R,https://acordes.lacuerda.net/alex_campos/en_totalidad_a_ti
869,Es Jesús,Danilo Montero,danilo_montero,es_jesus,17,10.0,3,"R,T",https://acordes.lacuerda.net/danilo_montero/es_jesus
870,Por su sangre,Generacion 12,generacion_12,por_su_sangre,17,10.0,3,R,https://acordes.lacuerda.net/generacion_12/por_su_sangre
871,Tuyo Soy,Alex Campos,alex_campos,tuyo_soy,17,10.0,2,R,https://acordes.lacuerda.net/alex_campos/tuyo_soy
872,Mi mejor amigo,Hillsong United,hillsong_united,mi_mejor_amigo,17,9.82,1,R,https://acordes.lacuerda.net/hillsong_united/mi_mejor_amigo
873,Cristo eres tú,Marcela Gandara,marcela_gandara,cristo_eres_tu,17,9.42,3,R,https://acordes.lacuerda.net/marcela_gandara/cristo_eres_tu
874,Que tu gloria,Generacion 12,generacion_12,que_tu_gloria,17,9.41,1,R,https://acordes.lacuerda.net/generacion_12/que_tu_gloria
875,Levántate,Alex Campos,alex_campos,levantate,17,9.24,1,R,https://acordes.lacuerda.net/alex_campos/levantate
876,Amor Eterno,Alex Campos,alex_campos,amor_eterno,17,9.18,2,R,https://acordes.lacuerda.net/alex_campos/amor_eterno
877,Tan sólo una gota,Generacion 12,generacion_12,tan_solo_una_gota,17,9.18,2,R,https://acordes.lacuerda.net/generacion_12/tan_solo_una_gota
878,Jesús yo te amo,Música Religiosa,musica_religiosa,jesus_yo_te_amo,17,9.07,1,R,https://acordes.lacuerda.net/musica_religiosa/jesus_yo_te_amo
879,Sólo en Jesús - por la sangre,Danilo Montero,danilo_montero,solo_en_jesus__por_la_sangre,17,9.01,1,R,https://acordes.lacuerda.net/danilo_montero/solo_en_jesus__por_la_sangre
880,Alabándote,Música Religiosa,musica_religiosa,alabandote,17,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/alabandote
881,De los Montes,Marco Barrientos,marco_barrientos,de_los_montes,17,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/de_los_montes
882,Como río en primavera,Marcela Gandara,marcela_gandara,como_rio_en_primavera,17,8.77,4,R,https://acordes.lacuerda.net/marcela_gandara/como_rio_en_primavera
883,Amaré al Señor mi Dios,Marcos Witt,marcos_witt,amare_al_senior_mi_dios,17,8.72,1,R,https://acordes.lacuerda.net/marcos_witt/amare_al_senior_mi_dios
884,Es Por Tu Espíritu,Danilo Montero,danilo_montero,es_por_tu_espiritu,17,8.71,1,R,https://acordes.lacuerda.net/danilo_montero/es_por_tu_espiritu
885,Abre los cielos,Hillsong United,hillsong_united,abre_los_cielos,17,8.63,1,R,https://acordes.lacuerda.net/hillsong_united/abre_los_cielos
886,Queremos Darte Gloria,Marcos Witt,marcos_witt,queremos_darte_gloria,17,8.59,1,R,https://acordes.lacuerda.net/marcos_witt/queremos_darte_gloria
887,Peña de Horeb,Marcos Witt,marcos_witt,penia_de_horeb,17,8.53,1,R,https://acordes.lacuerda.net/marcos_witt/penia_de_horeb
888,Oh señor (my sweet lord),Música Religiosa,musica_religiosa,oh_senior_my_sweet_lord,17,8.51,1,K,https://acordes.lacuerda.net/musica_religiosa/oh_senior_my_sweet_lord
889,"Paz, Cuan Dulce Paz",Marcos Witt,marcos_witt,paz_cuan_dulce_paz,17,8.37,1,R,https://acordes.lacuerda.net/marcos_witt/paz_cuan_dulce_paz
890,Tu eres Dios,Marco Barrientos,marco_barrientos,tu_eres_dios,17,8.24,1,R,https://acordes.lacuerda.net/marco_barrientos/tu_eres_dios
891,Glorioso Intercambio,La IBI,ibi,glorioso_intercambio,17,8.12,1,R,https://acordes.lacuerda.net/ibi/glorioso_intercambio
892,Unidos,Música Religiosa,musica_religiosa,unidos,17,8.1,1,R,https://acordes.lacuerda.net/musica_religiosa/unidos
893,La carta perfecta,Danilo Montero,danilo_montero,la_carta_perfecta,17,8.01,1,R,https://acordes.lacuerda.net/danilo_montero/la_carta_perfecta
894,Anoche soñe con el día final,Música Religiosa,musica_religiosa,anoche_sonie_con_el_dia_final,17,7.88,1,R,https://acordes.lacuerda.net/musica_religiosa/anoche_sonie_con_el_dia_final
895,Tu Presencia,Barak,barak,tu_presencia,17,7.88,1,R,https://acordes.lacuerda.net/barak/tu_presencia
896,Pueblo Mío,Música Religiosa,musica_religiosa,pueblo_mio,17,7.85,1,R,https://acordes.lacuerda.net/musica_religiosa/pueblo_mio
897,Hoy te quiero cantar,Música Religiosa,musica_religiosa,hoy_te_quiero_cantar,17,7.82,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy_te_quiero_cantar
898,Digno eres Señor,Marco Barrientos,marco_barrientos,digno_eres_senior,17,7.78,1,R,https://acordes.lacuerda.net/marco_barrientos/digno_eres_senior
899,Cantaré de tu amor por siempre,Danilo Montero,danilo_montero,cantare_de_tu_amor_por_siempre,17,7.76,2,"R,B",https://acordes.lacuerda.net/danilo_montero/cantare_de_tu_amor_por_siempre
900,Testigo,Música Religiosa,musica_religiosa,testigo,17,7.69,1,R,https://acordes.lacuerda.net/musica_religiosa/testigo
901,Pon aceite en mi vida,Marcos Witt,marcos_witt,pon_aceite_en_mi_vida,17,7.66,1,R,https://acordes.lacuerda.net/marcos_witt/pon_aceite_en_mi_vida
902,Tal como soy,Hillsong United,hillsong_united,tal_como_soy,17,7.59,1,R,https://acordes.lacuerda.net/hillsong_united/tal_como_soy
903,El diablo se quema,Música Religiosa,musica_religiosa,el_diablo_se_quema,17,7.35,1,R,https://acordes.lacuerda.net/musica_religiosa/el_diablo_se_quema
904,Qué dulce,Danilo Montero,danilo_montero,que_dulce,17,7.19,2,"R,T",https://acordes.lacuerda.net/danilo_montero/que_dulce
905,No hay otro nombre,Hillsong United,hillsong_united,no_hay_otro_nombre,17,6.59,1,R,https://acordes.lacuerda.net/hillsong_united/no_hay_otro_nombre
906,"Aleluya, Aleluya",Marco Barrientos,marco_barrientos,aleluya_aleluya,17,6.47,1,R,https://acordes.lacuerda.net/marco_barrientos/aleluya_aleluya
907,Suspiro Hoy,Generacion 12,generacion_12,suspiro_hoy,17,6.0,1,R,https://acordes.lacuerda.net/generacion_12/suspiro_hoy
908,Es grande,Danilo Montero,danilo_montero,es_grande,16,10.0,4,"R,T",https://acordes.lacuerda.net/danilo_montero/es_grande
909,El mismo amor,Danilo Montero,danilo_montero,el_mismo_amor,16,10.0,3,R,https://acordes.lacuerda.net/danilo_montero/el_mismo_amor
910,Amor Inusual,Tercer Cielo,tercer_cielo,amor_inusual,16,9.92,2,R,https://acordes.lacuerda.net/tercer_cielo/amor_inusual
911,Somos Uno,Generacion 12,generacion_12,somos_uno,16,9.73,3,R,https://acordes.lacuerda.net/generacion_12/somos_uno
912,Oh Gracias Encontre la vida,Marcos Witt,marcos_witt,oh_gracias_encontre_la_vida,16,9.67,1,R,https://acordes.lacuerda.net/marcos_witt/oh_gracias_encontre_la_vida
913,Supremo Amor,Música Religiosa,musica_religiosa,supremo_amor,16,9.52,1,R,https://acordes.lacuerda.net/musica_religiosa/supremo_amor
914,Señor a quien iremos,Música Religiosa,musica_religiosa,senior_a_quien_iremos,16,9.31,1,R,https://acordes.lacuerda.net/musica_religiosa/senior_a_quien_iremos
915,Alfarero,Barak,barak,alfarero,16,9.19,2,R,https://acordes.lacuerda.net/barak/alfarero
916,Manda el fuego,Generacion 12,generacion_12,manda_el_fuego,16,9.12,1,R,https://acordes.lacuerda.net/generacion_12/manda_el_fuego
917,Vengo a tí,Música Religiosa,musica_religiosa,vengo_a_ti,16,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/vengo_a_ti
